"Story","Title","Result","Date","Stability","Duration (s)"
"Reto101","verificar el funcionamiento de la opcion Block Validation","SUCCESS","2021-07-01T14:18:54.579-05:00[America/Bogota]","0.0","22.07"
"Reto101","verificar el funcionamiento de la opcion Inline Validation","SUCCESS","2021-07-01T14:19:17.877-05:00[America/Bogota]","0.0","21.51"
"Reto101","Valores incorrectos en el formulario Block Validation","SUCCESS","2021-07-01T14:19:40.398-05:00[America/Bogota]","0.0","9.21"
